Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 5.564329, 7.732913, 2.956665, 0.646582, -0.444676, -0.128884, 0.275293, 
50, 5.594442, 7.741091, 2.987869, 0.624077, -0.450084, -0.108171, 0.255108, 
50, 5.623609, 7.748396, 3.017936, 0.601352, -0.454497, -0.088247, 0.235661, 
50, 5.651794, 7.754886, 3.046859, 0.578454, -0.457972, -0.069508, 0.216979, 
50, 5.678967, 7.760621, 3.074630, 0.555425, -0.460585, -0.052248, 0.199086, 
50, 5.705100, 7.765662, 3.101245, 0.532304, -0.462417, -0.036658, 0.181997, 
50, 5.730173, 7.770065, 3.126702, 0.509126, -0.463560, -0.022849, 0.165722, 
50, 5.754166, 7.773888, 3.150998, 0.485921, -0.464102, -0.010846, 0.150266, 
50, 5.777066, 7.777183, 3.174133, 0.462714, -0.464134, -0.000626, 0.135629, 
50, 5.798861, 7.780004, 3.196110, 0.439527, -0.463739, 0.007893, 0.121806, 
50, 5.819541, 7.782399, 3.216929, 0.416377, -0.462998, 0.014821, 0.108794, 
50, 5.839102, 7.784415, 3.236592, 0.393278, -0.461984, 0.020284, 0.096581, 
50, 5.857537, 7.786095, 3.255104, 0.370240, -0.460762, 0.024428, 0.085158, 
50, 5.874846, 7.787479, 3.272468, 0.347270, -0.459392, 0.027397, 0.074514, 
50, 5.891025, 7.788607, 3.288687, 0.324374, -0.457926, 0.029333, 0.064635, 
50, 5.906075, 7.789512, 3.303764, 0.301554, -0.456407, 0.030373, 0.055509, 
50, 5.919998, 7.790227, 3.317705, 0.278810, -0.454875, 0.030643, 0.047122, 
50, 5.932793, 7.790781, 3.330512, 0.256142, -0.453362, 0.030257, 0.039462, 
50, 5.944462, 7.791201, 3.342189, 0.233547, -0.451896, 0.029320, 0.032516, 
50, 5.955009, 7.791511, 3.352740, 0.211022, -0.450500, 0.027918, 0.026272, 
50, 5.964435, 7.791733, 3.362169, 0.188562, -0.449193, 0.026138, 0.020719, 
50, 5.972741, 7.791885, 3.370477, 0.166163, -0.447991, 0.024041, 0.015847, 
50, 5.979931, 7.791983, 3.377667, 0.143817, -0.446907, 0.021692, 0.011645, 
50, 5.986007, 7.792043, 3.383743, 0.121520, -0.445950, 0.019136, 0.008107, 
50, 5.990970, 7.792076, 3.388707, 0.099263, -0.445129, 0.016417, 0.005225, 
50, 5.994822, 7.792092, 3.392559, 0.077041, -0.444450, 0.013573, 0.002993, 
50, 5.997564, 7.792098, 3.395301, 0.054845, -0.443919, 0.010629, 0.001407, 
50, 5.999198, 7.792100, 3.396934, 0.032668, -0.443538, 0.007618, 0.000463, 
50, 5.999869, 7.792100, 3.397605, 0.013417, -0.385016, 1.170449, 0.000076, 
50, 6.000000, 7.792100, 3.397736, 0.002625, -0.215834, 3.383626, 0.000000, 
50, 6.000000, 7.792100, 3.397736, 0.000000, -0.052510, 3.266491, 0.000000, 
